name including version,IPZilla #,Plug-in or location,License,Usage
ICU4J 3.6.1,1367,com.ibm.icu and com.ibm.icu.base,ICU4J + Unicode,unmodified
ICU4K 3.8.1,1919,com.ibm.icu and com.ibm.icu.base,ICU4J + Unicode,unmodified
Commons Collections 2.1.1,1421,org.eclipse.equinox.registry,Apache 2.0,derivative of one class
Putty 0.58,308,org.eclipse.swt.*,MIT-style,derivative of one class
JSch 0.1.31,1153,com.jcraft.jsch,BSD-style,unmodified
JSch 0.1.37,2014,com.jcraft.jsch,ew BSD license,unmodified
Ant 1.7.0,1232,org.apache.ant,Apache 2.0,unmodified
Ant 1.6.5,1525,org.eclipse.ant.ui,Apache 2.0,derivative of two classes
Ant 1.6.5,1525,org.eclipse.ant.core,Apache 2.0,derivative of two classes
Ant 1.7.0,1232,org.eclipse.team.cvs.core,Apache 2.0,derivative of one class
Lucene 1.4.3,1014,org.eclipse.help.base,Apache 2.0,subset
Lucene 1.9.1,243,org.apache.lucene,Apache 2.0,subset
Lucene 1.9.1,243,org.apache.lucene.analysis,Apache 2.0,subset
OSGi Materials 4.1.0,"1450, 1451, 1454",org.eclipse.equinox.app,Apache 2.0,subset
OSGi Materials 4.1.0,"1450, 1451, 1454","org.eclipse.osgi,org.eclipse.osgi.services,org.eclipse.osgi.util,org.eclipse.equinox.preferences",Apache 2.0,subset
OSGi Materials 4.1.0,"1450, 1451, 1454",org.eclipse.pde.build,Apache 2.0,subset
GTK+ Binding,,"org.eclipse.swt.gtk.linux.*,org.eclipse.swt.gtk.solaris.sparc",LGPL 2.1,derivitive work of headers
GNOME Binding,,"org.eclipse.swt.gtk.linux.*,org.eclipse.swt.motif.linux.x86",LGPL 2.1,derivitive work of headers
Cairo Binding,,"org.eclipse.swt.gtk.*,org.eclipse.swt.motif.linux.x86",Mozilla 1.1,derivitive work of headers
Mozilla Binding,,"org.eclipse.swt.gtk.linux.*,org.eclipse.swt.motif.linux.x86",Mozilla 1.1,derivitive work of headers
Cairo Library 1.0.2,262,(libcairo-swt.so) in org.eclipse.swt.gtk.* and  org.eclipse.swt.motif.linux.x86 and also copied to \eclipse in builds,Mozilla 1.1,subset
pixman 0.1.6,262,(libcairo-swt.so) in org.eclipse.swt.gtk.* and  org.eclipse.swt.motif.linux.x86 and also copied to \eclipse in builds,MIT-style,unmodified
IJG JPEG Release 6b,337,org.eclipse.swt.* (BUT NOT org.eclipse.swt),IJG,derivitive of subset
Java SSH Applet,,org.eclipse.team.cvs.ssh,Free,derivitive work
Tomcat 4.1.30,1016,org.eclipse.tomcat,Apache 1.1,subset
Tomcat 5.5.17,246,javax.servlet.api_2.4.0,Apache 2.0,subset (Java Servlet API 2.4.0)
Tomcat 5.5.17,246,javax.servlet.jsp_2.0.0,Apache 2.0,subset (Java Servlet JSP API 2.0)
Tomcat 5.5.17,246,org.apache.jasper,Apache 2.0,subset (Jasper Compiler)
Jetty 5.1.11,290,org.mortbay.jetty,Apache 2.0,unmodified
Commons-Logging 1.0.4,220,org.apache.commons.logging,Apache 2.0,unmodified
Commons-EL 1.0,217,org.apache.commons.el,Apache 2.0,unmodified
Java Mirror API 1.5,264,"org.eclipse.jdt.apt.core, org.eclipse.jdt.debug",Sun,subset
iSpell Dictionaries 3.1.20,1416,org.eclipse.jdt.ui,iSpell license,derivitive of wordlist
Junit 3.8.2,296,"org.junit,org.eclipse.jdt.ui.examples.projects",CPL 1.0,unmodified
Junit 4.3.1,1396,org.junit4,CPL 1.0,unmodified
ASM 3.0,1937,org.objectweb.asm and org.objectweb.asm.source, New BSD License, unmodified
